Date,BTC-USD,NVDA,SPY,UUUU
2021-06-29,35867.77734375,19.983177185058594,403.05328369140625,5.929999828338623
2021-06-30,35040.8359375,19.9589786529541,403.3926696777344,6.050000190734863
2021-07-01,33572.1171875,20.16802406311035,405.6260681152344,6.139999866485596
2021-07-02,33897.046875,20.44242286682129,408.7264709472656,6.079999923706055
2021-07-03,34668.546875,,,
2021-07-04,35287.78125,,,
2021-07-05,33746.00390625,,,
2021-07-06,34235.1953125,20.653459548950195,407.98199462890625,5.739999771118164
2021-07-07,33855.328125,20.327421188354492,409.4237976074219,5.5
2021-07-08,32877.37109375,19.85944175720215,406.0878601074219,5.340000152587891
2021-07-09,33798.01171875,20.006624221801758,410.42279052734375,5.409999847412109
2021-07-10,33520.51953125,,,
2021-07-11,34240.1875,,,
2021-07-12,33155.84765625,20.467872619628906,411.8928527832031,5.239999771118164
2021-07-13,32702.025390625,20.2059383392334,410.48870849609375,5.039999961853027
2021-07-14,32822.34765625,19.798324584960938,411.1011962890625,5.039999961853027
2021-07-15,31780.73046875,18.924978256225586,409.6971130371094,4.989999771118164
2021-07-16,31421.5390625,18.12148094177246,406.4836730957031,4.639999866485596
2021-07-17,31533.068359375,,,
2021-07-18,31796.810546875,,,
2021-07-19,30817.83203125,18.738887786865234,400.4807434082031,4.590000152587891
2021-07-20,29807.34765625,18.571502685546875,406.2197265625,4.840000152587891
2021-07-21,32110.693359375,19.36776351928711,409.5086364746094,5.300000190734863
2021-07-22,32313.10546875,19.55136489868164,410.3662109375,5.179999828338623
2021-07-23,33581.55078125,19.515445709228516,414.58807373046875,5.110000133514404
2021-07-24,34292.4453125,,,
2021-07-25,35350.1875,,,
2021-07-26,37337.53515625,19.252016067504883,415.6058044433594,5.340000152587891
2021-07-27,39406.94140625,19.166202545166016,413.7115478515625,5.039999961853027
2021-07-28,39995.90625,19.46056365966797,413.5419921875,5.460000038146973
2021-07-29,40008.421875,19.61921501159668,415.2570495605469,5.449999809265137
2021-07-30,42235.546875,19.456567764282227,413.2404479980469,5.25
2021-07-31,41626.1953125,,,
2021-08-01,39974.89453125,,,
2021-08-02,39201.9453125,19.707029342651367,412.3735046386719,5.150000095367432
2021-08-03,38152.98046875,19.77188491821289,415.7283020019531,5.260000228881836
2021-08-04,39747.50390625,20.229887008666992,413.683349609375,5.03000020980835
2021-08-05,40869.5546875,20.59209632873535,416.3031921386719,5.199999809265137
2021-08-06,42816.5,20.321683883666992,416.9910583496094,5.269999980926514
2021-08-07,44555.80078125,,,
2021-08-08,43798.1171875,,,
2021-08-09,46365.40234375,20.250839233398438,416.6518249511719,5.28000020980835
2021-08-10,45585.03125,19.892621994018555,417.1700744628906,5.489999771118164
2021-08-11,45593.63671875,19.656137466430664,418.2068176269531,5.409999847412109
2021-08-12,44428.2890625,19.8616886138916,419.46014404296875,5.269999980926514
2021-08-13,47793.3203125,20.144073486328125,420.22344970703125,5.099999904632568
2021-08-14,47096.9453125,,,
2021-08-15,47047.00390625,,,
2021-08-16,46004.484375,19.906593322753906,421.212890625,4.769999980926514
2021-08-17,44695.359375,19.415660858154297,418.4517822265625,4.670000076293945
2021-08-18,44801.1875,18.998571395874023,413.87188720703125,4.75
2021-08-19,46717.578125,19.75492286682129,414.51263427734375,4.579999923706055
